,district,size,floor,registration,heating,rooms,parking,balcony,state,price
20123,Kalenić pijaca,126.0,5.0,True,Centralno,4.0,False,True,Standardna gradnja,200000
20125,Retenzija,49.0,3.0,True,"Klima, Centralno",2.0,True,True,Novogradnja,110000
20127,Barajevo,62.0,5.0,False,Ostalo,3.0,False,False,Standardna gradnja,33000
20128,Mirijevo I,45.0,5.0,True,Ostalo,3.0,True,False,Izvorno stanje,65000
20129,Stari Grad,70.0,1.0,True,"Klima, Ostalo",3.0,False,False,Izvorno stanje,200000
20151,Novi Beograd Blok 7 (Paviljoni),50.0,6.0,True,Ostalo,3.0,False,True,Standardna gradnja,84000
20152,Zemun (Centar),55.0,0.0,True,Ostalo,2.0,False,False,Izvorno stanje,91900
20153,Kanarevo brdo,62.0,9.0,True,Centralno,3.0,False,True,Izvorno stanje,70000
20154,Lekino brdo,78.0,1.0,False,Ostalo,3.0,False,True,Novogradnja,156000
20155,Skojevsko naselje,60.0,3.0,True,"Klima, Ostalo",3.0,False,False,Izvorno stanje,68000
20156,Donji Dorćol,91.0,12.0,True,"Klima, Centralno",3.0,False,True,Izvorno stanje,199000
20157,Padinska skela,80.0,3.0,True,"Klima, Centralno",3.0,False,True,Izvorno stanje,48000
20158,Stari Grad,70.0,1.0,True,Ostalo,3.0,False,False,Izvorno stanje,200000
20159,Skadarlija,75.0,1.0,True,Ostalo,3.0,False,True,Izvorno stanje,165000
20161,Zvezdara,105.0,0.0,True,"Klima, Ostalo",3.0,True,True,Novogradnja,173000
20162,Beograd na vodi,82.0,2.0,True,Centralno,3.0,False,True,Novogradnja,259500
20163,Zemun (Meandri),51.0,1.0,False,Ostalo,3.0,False,True,Novogradnja,84150
20164,Vračar (Centar),86.0,2.0,True,"Klima, Centralno",3.0,False,True,Izvorno stanje,280000
20165,Zemun Polje,64.0,2.0,True,Ostalo,3.0,False,True,Izvorno stanje,62000
20166,Zemun (Nova Galenika),65.0,6.0,True,Centralno,3.0,False,True,Izvorno stanje,91000
20190,Autokomanda,41.0,0.0,True,Ostalo,3.0,False,False,Novogradnja,78900
20195,Novi Beograd Blok 72,68.0,6.0,False,Centralno,3.0,False,True,Izvorno stanje,140000
20196,Borča I,56.0,2.0,False,Centralno,2.0,False,True,Izvorno stanje,53000
20197,Senjak,64.0,1.0,True,Ostalo,3.0,True,False,Novogradnja,115000
20198,Bele vode,63.0,0.0,True,Ostalo,2.0,False,True,Novogradnja,65000
20199,Mirijevo I,57.0,9.0,True,Centralno,3.0,False,False,Standardna gradnja,70000
20200,Novi Beograd Blok 11c (Stari Merkator),56.0,4.0,True,Centralno,3.0,False,True,Izvorno stanje,122500
20201,Miljakovac I,61.0,0.0,True,Centralno,3.0,False,True,Izvorno stanje,82000
20202,Novi Beograd Blok 1 (Fontana),65.0,7.0,True,Centralno,3.0,False,True,Izvorno stanje,125000
20203,Institut za majku i dete,72.0,4.0,True,Centralno,3.0,False,True,Izvorno stanje,129900
20204,Zemun Polje,78.0,3.0,True,Centralno,3.0,False,True,Izvorno stanje,74900
20205,Autokomanda,64.0,6.0,True,Centralno,3.0,False,True,Standardna gradnja,135000
20206,Crveni krst,78.0,2.0,True,Centralno,3.0,False,True,Izvorno stanje,185000
20207,Novi Beograd Blok 4 (Politehnička akademija),54.0,0.0,True,Centralno,2.0,False,False,Izvorno stanje,102000
20208,Višnjička banja,74.0,2.0,False,Centralno,3.0,False,True,Izvorno stanje,115000
20209,Novi Beograd Blok 61,78.0,3.0,True,Centralno,3.0,False,True,Izvorno stanje,119900
20231,Gradska bolnica,74.0,0.0,True,Centralno,3.0,False,False,Izvorno stanje,109000
